Level,658k,660k,665k,666k,765k,766k,643c,717c,723c,735k,743c,764k,778c,779c
T1,279.6168,298.4937,272.1898,284.6589,#N/A,282.176,#N/A,329.335,335.6812,302.6825,290.0643,289.6408,301.2818,289.0353
T2,273.9769,284.6631,286.3263,293.9689,#N/A,266.4162,336.1635,338.0682,341.0866,287.1159,276.3842,293.3767,316.4725,292.8475
T3,289.715,301.0354,290.548,296.806,#N/A,272.7064,#N/A,353.2862,345.7045,293.6868,289.5876,303.3468,316.1029,302.8512
T4,290.6096,302.0469,303.0927,304.9456,#N/A,279.2948,#N/A,359.2467,345.8242,300.2983,292.3393,302.8323,320.368,303.6926
T5,295.5971,307.1457,301.9265,299.4289,#N/A,284.2886,#N/A,351.3164,347.269,299.7684,293.7554,302.1267,316.6195,297.9407
T6,289.3552,301.5205,288.1715,297.5606,#N/A,287.0305,317.2607,#N/A,342.6161,294.7865,288.4928,300.3809,312.6442,295.4165
T7,288.8512,293.7085,287.3105,294.9209,#N/A,286.6973,318.5536,#N/A,343.9006,292.7257,282.8935,298.1514,307.9745,304.1091
T8,288.0364,287.9755,285.1643,294.1999,#N/A,285.6991,322.3833,#N/A,342.824,288.0336,#N/A,298.6736,306.3407,320.7341
T9,288.0651,284.1227,288.889,291.7492,#N/A,277.1857,326.4727,339.4241,342.9458,293.9535,282.6667,300.341,313.1356,307.1184
T10,284.9228,281.9842,292.5367,296.6842,#N/A,277.8703,335.5671,342.0708,349.985,300.8954,286.341,305.7954,324.3678,307.6084
T11,285.2315,284.3845,301.3343,307.6161,#N/A,281.7469,348.879,349.3067,363.7218,311.8567,292.4499,313.7033,335.0904,325.6824
T12,289.3741,294.5079,314.2122,318.1273,#N/A,286.3907,360.1952,355.3204,369.3428,321.6273,296.3804,323.6293,349.0785,366.2712
T13,296.2411,303.8942,321.1135,321.2206,#N/A,292.9392,371.4995,361.1598,376.0929,330.5292,308.4974,330.4816,356.3179,356.6651
T14,302.8841,311.6439,327.7551,327.7901,#N/A,296.7703,374.5053,369.228,381.1371,340.2277,316.7196,338.8802,361.9704,378.1817
T15,309.9639,327.4541,331.8088,330.0462,#N/A,294.0123,378.2657,378.8537,382.6295,340.8255,326.1185,343.7991,352.1872,384.2598
L1,316.7035,331.6324,342.6294,330.0917,341.0208,298.2613,369.1888,375.2676,363.7785,354.703,329.1796,339.2197,351.8071,382.3663
L2,320.9112,328.5398,340.9263,329.1894,341.3603,299.2231,369.4268,376.9287,360.9939,346.135,326.3796,338.778,344.2275,381.6719
L3,315.0501,325.5207,339.2519,324.9929,336.9517,293.7827,358.6356,372.0644,368.5875,344.6223,321.7862,336.9258,343.0011,376.7852
L4,309.7917,316.8372,326.6197,320.4576,335.1821,288.2821,352.8592,367.2974,365.1785,332.898,318.527,333.3642,334.9287,370.4411
L5,303.4266,311.2274,315.5303,322.5205,340.6547,283.1133,348.6648,366.8585,359.1144,327.5892,317.6499,339.8574,342.3557,373.5582
L6,304.7328,316.784,315.9671,317.9705,341.4674,284.2361,362.8461,363.8737,361.8927,332.6166,322.2629,344.7609,346.0489,372.2744
